Case ID,Study Code,Study Type,Breed,Diagnosis,Stage Of Disease,Age,Sex,Neutered Status,Weight (kg),Response to Treatment,Cohort,Canine ID,Matching Cases,Disease Site,Date of Diagnosis,Histology/Cytopathology,Histological Grade,Detailed Pathology Evaluation Available,Treatment Data Available,Follow Up Data Available,Concurrent Disease(s),Concurrent Disease Specifics,Arm
"GLIOMA01-i_03A6","GLIOMA01","Genomics","Boxer","Glioma","Unknown","11","Female","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","No","Yes", , , 
"GLIOMA01-i_045E","GLIOMA01","Genomics","Golden Retriever","Glioma","Unknown","5","Male","No", ,"Not Determined", , ,"","Brain","", , ,"Yes","No","Yes", , , 
"GLIOMA01-i_05CA","GLIOMA01","Genomics","Boxer","Glioma","Unknown","2","Male","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","No","Yes", , , 
"GLIOMA01-i_0DC4","GLIOMA01","Genomics","Labrador Retriever","Glioma","Unknown","10","Female","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","No","Yes", , , 
"GLIOMA01-i_0FF0","GLIOMA01","Genomics","Boston Terrier","Glioma","Unknown","5","Male","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","Yes","Yes", , , 
"GLIOMA01-i_1165","GLIOMA01","Genomics","Boxer","Glioma","Unknown","8","Male","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","No","Yes", , , 
"GLIOMA01-i_1166","GLIOMA01","Genomics","Mixed Breed","Glioma","Unknown","9","Male","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","Yes","Yes", , , 
"GLIOMA01-i_157E","GLIOMA01","Genomics","French Bulldog","Glioma","Unknown","3","Male","No", ,"Not Determined", , ,"","Brain","", , ,"Yes","Yes","Yes", , , 
"GLIOMA01-i_1793","GLIOMA01","Genomics","Boston Terrier","Glioma","Unknown","9","Male","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","No","Yes", , , 
"GLIOMA01-i_1C36","GLIOMA01","Genomics","Dalmatian","Glioma","Unknown","12","Female","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","Yes","Yes", , , 
"GLIOMA01-i_22C7","GLIOMA01","Genomics","Boxer","Glioma","Unknown","8","Female","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","No","Yes", , , 
"GLIOMA01-i_2C25","GLIOMA01","Genomics","Shih Tzu","Glioma","Unknown","1.2","Unknown","Unknown", ,"Not Determined", , ,"","Brain","", , ,"Yes","No","No", , , 
"GLIOMA01-i_2C4F","GLIOMA01","Genomics","Boston Terrier","Glioma","Unknown","12","Male","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","No","Yes", , , 
"GLIOMA01-i_2EC9","GLIOMA01","Genomics","Mixed Breed","Glioma","Unknown","12","Female","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","Yes","Yes", , , 
"GLIOMA01-i_3688","GLIOMA01","Genomics","Boxer","Glioma","Unknown","10","Female","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","No","Yes", , , 
"GLIOMA01-i_3F8C","GLIOMA01","Genomics","Staffordshire Bull Terrier","Glioma","Unknown","8","Male","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","No","Yes", , , 
"GLIOMA01-i_42D9","GLIOMA01","Genomics","Golden Retriever","Glioma","Unknown","8","Male","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","Yes","Yes", , , 
"GLIOMA01-i_4990","GLIOMA01","Genomics","American Staffordshire Terrier","Glioma","Unknown","4","Male","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","No","No", , , 
"GLIOMA01-i_49E6","GLIOMA01","Genomics","Boston Terrier","Glioma","Unknown","12","Female","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","No","Yes", , , 
"GLIOMA01-i_4AAB","GLIOMA01","Genomics","Labrador Retriever","Glioma","Unknown","8","Male","Yes", ,"Not Determined", , ,"","Brain","", , ,"No","No","Yes", , , 
"GLIOMA01-i_4BAC","GLIOMA01","Genomics","Boxer","Glioma","Unknown","6.5","Unknown","Unknown", ,"Not Determined", , ,"","Brain","", , ,"Yes","No","Yes", , , 
"GLIOMA01-i_4D0C","GLIOMA01","Genomics","Boxer","Glioma","Unknown","8","Male","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","Yes","Yes", , , 
"GLIOMA01-i_502F","GLIOMA01","Genomics","Boston Terrier","Glioma","Unknown","9","Female","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","No","No", , , 
"GLIOMA01-i_51A5","GLIOMA01","Genomics","Boston Terrier","Glioma","Unknown","4","Male","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","No","Yes", , , 
"GLIOMA01-i_56B5","GLIOMA01","Genomics","Boston Terrier","Glioma","Unknown","9","Male","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","Yes","Yes", , , 
"GLIOMA01-i_5CE5","GLIOMA01","Genomics","French Bulldog","Glioma","Unknown","5","Male","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","Yes","Yes", , , 
"GLIOMA01-i_5E9A","GLIOMA01","Genomics","Mixed Breed","Glioma","Unknown","7","Male","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","No","Yes", , , 
"GLIOMA01-i_607E","GLIOMA01","Genomics","Boxer","Glioma","Unknown","9","Female","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","Yes","Yes", , , 
"GLIOMA01-i_60DA","GLIOMA01","Genomics","Labrador Retriever","Glioma","Unknown","7","Female","Yes", ,"Not Determined", , ,"","Brain","", , ,"No","No","Yes", , , 
"GLIOMA01-i_6254","GLIOMA01","Genomics","French Bulldog","Glioma","Unknown","8","Female","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","No","Yes", , , 
"GLIOMA01-i_63FE","GLIOMA01","Genomics","Boxer","Glioma","Unknown","6","Female","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","Yes","Yes", , , 
"GLIOMA01-i_6454","GLIOMA01","Genomics","Boxer","Glioma","Unknown","9","Male","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","Yes","Yes", , , 
"GLIOMA01-i_64C0","GLIOMA01","Genomics","Boxer","Glioma","Unknown","6","Male","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","No","Yes", , , 
"GLIOMA01-i_6561","GLIOMA01","Genomics","Beagle","Glioma","Unknown","8","Male","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","Yes","Yes", , , 
"GLIOMA01-i_6638","GLIOMA01","Genomics","Boxer","Glioma","Unknown","9","Female","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","No","Yes", , , 
